Glass,Code,K1,L1,K2,L2,K3,L3,A0,A1,A2,A3,A4,A5,ThermalExpansion1e-7m/K,Melt Frequency,Relative Price,Glass,,,,,,,,,,,,,,,,,,,,,
H-ZK10,622567,1.48007727E+00,8.52142302E-03,8.74190019E-01,9.31901383E+01,1.05839500E-01,3.27272904E-02,,,,,,,65,B,20 ,H-ZK10,,,,,,,,,,,,,,,,,,,,,
H-ZK10L,623569,9.57266324E-01,1.00408853E+02,1.44528215E+00,8.04380200E-03,1.43179062E-01,3.04353080E-02,,,,,,,65,B,20 ,H-ZK10L,,,,,,,,,,,,,,,,,,,,,
ZF3,717295,,,,,,,2.84758519E+00,-1.05088281E-02,3.09450925E-02,2.13696398E-03,-1.31040120E-04,1.42428874E-05,83,D,22 ,ZF3,,,,,,,,,,,,,,,,,,,,,
H-ZK50,607567,4.34311306E-01,-1.92252587E-03,1.10560033E+00,1.47271072E-02,9.88776159E-01,1.10411650E+02,,,,,,,68,B,22 ,H-ZK50,,,,,,,,,,,,,,,,,,,,,
H-ZK6,613586,1.35139240E+00,7.35017182E-03,2.06957487E-01,2.54398321E-02,9.61153882E-01,9.95133128E+01,,,,,,,63,B,22 ,H-ZK6,,,,,,,,,,,,,,,,,,,,,
H-BaK6,564608,8.13984879E-01,3.92398403E-03,5.95734077E-01,1.64900015E-02,1.00704301E+00,1.07665801E+02,,,,,,,60,B,22 ,H-BaK6,,,,,,,,,,,,,,,,,,,,,
H-QK3L,487704,6.01737491E-01,1.25749740E-02,8.58737004E-01,9.23325663E+01,5.86761501E-01,2.68750900E-03,,,,,,,92,MA,23 ,H-QK3L,,,,,,,,,,,,,,,,,,,,,
H-BaK7GT,569560,6.59469741E-01,7.66009635E-04,7.62196700E-01,1.77403402E-02,1.19935835E+00,1.29975103E+02,,,,,,,72,MA,23 ,H-BaK7GT,,,,,,,,,,,,,,,,,,,,,
H-BaK2,540597,6.18389223E-01,1.74653825E-03,7.18400306E-01,1.58112967E-02,1.07451466E+00,1.26584788E+02,,,,,,,80,C,24 ,H-BaK2,,,,,,,,,,,,,,,,,,,,,
H-ZBaF50,658509,1.63431974E+00,9.83161322E-03,9.88379475E-01,1.02398826E+02,6.11984018E-02,4.99038842E-02,,,,,,,75,A,24 ,H-ZBaF50,,,,,,,,,,,,,,,,,,,,,
F6,625356,,,,,,,2.56849722E+00,-8.36232123E-03,2.34448291E-02,8.28924343E-04,-1.18355482E-05,4.09561662E-06,98,D,25 ,F6,,,,,,,,,,,,,,,,,,,,,
F13,626357,,,,,,,2.56957078E+00,-7.60403138E-03,2.49680705E-02,3.34501945E-04,5.68154380E-05,6.07326285E-07,94,D,25 ,F13,,,,,,,,,,,,,,,,,,,,,
ZF5,740282,,,,,,,2.91604320E+00,-1.04356470E-02,3.39078720E-02,2.27288020E-03,-1.35632130E-04,1.65275920E-05,86,D,25 ,ZF5,,,,,,,,,,,,,,,,,,,,,
H-LaK72,713518,7.46934431E-01,1.72608475E-03,1.12652731E+00,1.76390536E-02,1.11422643E+00,1.10121875E+02,,,,,,,84,C,25 ,H-LaK72,,,,,,,,,,,,,,,,,,,,,
H-F1,603380,1.32375817E-01,5.45903225E-02,1.15564934E+00,1.16785740E+02,1.37547893E+00,1.01495335E-02,,,,,,,79,A,25 ,H-F1,,,,,,,,,,,,,,,,,,,,,
ZF7,806254,,,,,,,3.12219660E+00,-1.06497910E-02,4.21918710E-02,2.89376600E-03,-1.65235940E-04,2.32918100E-05,79,B,25 ,ZF7,,,,,,,,,,,,,,,,,,,,,
